ID;Área;Escenario;Pregunta;A;B;C;D;Respuesta correcta;Criterio técnico
A-141;Mecánica;Planta;Falla de eje ocurre solo con carga excéntrica. ¿Qué reforzarías primero?;Material;Rigidez a flexión;Lubricación;Potencia;B;"La excentricidad incrementa flexión; la rigidez reduce tensiones."
A-142;Mecánica;Vibraciones;Picos de vibración aparecen al pasar por una velocidad específica. ¿Acción correcta?;Aumentar rpm;Evitar zona crítica;Balancear solo;Cambiar material;B;Debe evitarse operar en la velocidad crítica.
A-143;Materiales;Falla;Grietas cortas y múltiples tras tratamiento térmico. ¿Causa probable?;Fatiga;Templado severo;Corrosión;Fluencia;B;Tensiones residuales del tratamiento generan grietas.
A-144;Materiales;Selección;Pieza sometida a contacto rodante y fatiga superficial. ¿Prioridad?;Dureza superficial;Ductilidad total;Bajo costo;Conductividad;A;La dureza superficial mejora resistencia a contacto rodante.
A-145;Tribología;Diagnóstico;Análisis de aceite muestra silicio elevado. ¿Origen típico?;Desgaste interno;Aire/arena;Agua;Aditivos;B;El silicio suele indicar ingreso de polvo/arena.
A-146;Tribología;Mantenimiento;Cambio a lubricante “mejor” empeora desempeño. ¿Qué revisar?;Marca;Compatibilidad con sellos/aditivos;Precio;Color;B;La incompatibilidad puede degradar sellos y aditivos.
A-147;Elementos de máquinas;Planta;Rodamientos fallan en reposo con vibración ambiente. ¿Fenómeno?;Brinelling verdadero;False brinelling;Fatiga;Picado;B;Microvibraciones sin giro producen false brinelling.
A-148;Elementos de máquinas;Diseño;Transmisión por faja falla en arranques frecuentes. ¿Qué sobredimensionar?;Velocidad;Torque de arranque;Lubricación;Material;B;El arranque exige el mayor par transmitido.
A-149;Metrología;Producción;Medidas difieren según orientación de la pieza. ¿Qué indica?;Error aleatorio;Deformación por gravedad/sujeción;Instrumento malo;Operador;B;Piezas grandes se deforman según apoyo/orientación.
A-150;Metrología;Calidad;Cpk cae tras mejora de Cp. ¿Interpretación correcta?;Proceso peor;Descentrado del proceso;Error de cálculo;Buen control;B;Aumentar Cp no garantiza centrado (Cpk).
A-151;Hidráulica;Planta;Variaciones de velocidad con presión constante. ¿Causa probable?;Bomba;Válvula no compensada;Aceite viejo;Filtro limpio;B;Sin compensación, el caudal varía con la carga.
A-152;Hidráulica;Diseño;Sistema sensible a golpes al arranque. ¿Qué agregar?;Válvula check;Arranque suave/soft-start hidráulico;Bomba mayor;Aceite más denso;B;El arranque suave reduce transientes de presión.
A-153;Neumática;Planta;Ciclos irregulares entre estaciones. ¿Medición clave?;Presión local en cada punto;Temperatura;Humedad;Consumo total;A;La presión local revela pérdidas y desbalances.
A-154;Neumática;Eficiencia;Sistema consume mucho aire en reposo. ¿Causa típica?;Válvulas grandes;Fugas;Aire seco;Buen diseño;B;Las fugas dominan el consumo en standby.
A-155;Fluidos;Bombas;Caudal varía con la altura del tanque. ¿Por qué?;Densidad;Cambio de NPSHa;Potencia;Diámetro;B;La altura afecta la presión de succión disponible.
A-156;Fluidos;Diseño;Pérdidas altas en tramos cortos con muchos accesorios. ¿Solución?;Aumentar presión;Simplificar accesorios;Aumentar velocidad;Cambiar fluido;B;Las pérdidas locales dominan en accesorios.
A-157;Electricidad;Motores;Motor con VFD presenta corrientes de eje. ¿Mitigación?;Mayor potencia;Anillo de puesta a tierra del eje;Mejor ventilación;Fusible rápido;B;El anillo deriva corrientes parásitas del eje.
A-158;Electricidad;Diagnóstico;Fallas intermitentes solo en horas pico. ¿Qué revisar?;Motor;Calidad de red;Lubricación;Carga mecánica;B;Las variaciones de red afectan equipos sensibles.
A-159;Seguridad;Planta;Incidentes al intervenir equipos energizados “parcialmente”. ¿Control clave?;Señalización;LOTO completo de todas las energías;EPP;Permiso verbal;B;Deben aislarse todas las fuentes de energía.
A-160;Ingeniería;Decisión;¿Qué priorizar al elegir entre dos soluciones técnicas?;Menor costo inicial;Menor costo del ciclo de vida;Disponibilidad inmediata;Facilidad de compra;B;El LCC refleja el impacto real a largo plazo.
A-161;Mecánica;Planta;Fisuras aparecen tras reducir el factor de seguridad “para optimizar”. ¿Error clave?;Material;Subestimar fatiga;Sobrecarga;Lubricación;B;La optimización sin fatiga reduce drásticamente la vida.
A-162;Mecánica;Vibraciones;Aumento de vibración a 3× rpm. ¿Indica típicamente?;Desbalance;Desalineación;Holgura mecánica;Resonancia;C;La holgura excita armónicos superiores (2×–3×).
A-163;Materiales;Falla;Fractura con facetas y sin deformación. ¿Condición agravante típica?;Alta temperatura;Baja temperatura;Alta ductilidad;Baja dureza;B;A bajas temperaturas aumenta la fragilidad.
A-164;Materiales;Selección;Eje crítico con ambiente corrosivo y carga cíclica. ¿Mejor enfoque?;Acero al carbono;Acero inoxidable adecuado;Aluminio;Fundición;B;Combina resistencia a corrosión y a fatiga.
A-165;Tribología;Diagnóstico;Aceite oscuro, olor acre y TAN alto. ¿Acción inmediata?;Seguir operando;Filtrar;Cambio de aceite;Aumentar carga;C;El aceite está oxidado y degradado.
A-166;Tribología;Mantenimiento;Rodamientos fallan tras lavado con solvente. ¿Qué se eliminó?;Suciedad;Película protectora;Desalineación;Sellos;B;El solvente elimina lubricación y protección anticorrosiva.
A-167;Elementos de máquinas;Planta;Acoplamiento rígido genera fallas repetidas. ¿Decisión correcta?;Más alineación;Cambiar a acoplamiento flexible;Mayor potencia;Mejor lubricación;B;Los acoplamientos rígidos no toleran desalineación.
A-168;Elementos de máquinas;Diseño;Engranaje falla por raíz del diente en arranque. ¿Qué rediseñar?;Perfil;Módulo;Lubricación;Velocidad;B;El módulo gobierna la resistencia a flexión del diente.
A-169;Metrología;Producción;Medición correcta en laboratorio, incorrecta en línea. ¿Causa típica?;Operador;Vibración/temperatura;Instrumento;Diseño;B;El ambiente de planta altera mediciones finas.
A-170;Metrología;Calidad;Buen Cpk pero fallas funcionales en campo. ¿Qué faltó?;Control estadístico;Validación funcional;Inspección;Medición;B;Cumplir tolerancias no garantiza función.
A-171;Hidráulica;Planta;Sistema pierde fuerza solo al final de carrera. ¿Causa probable?;Bomba;Fuga interna en actuador;Válvula direccional;Filtro;B;Las fugas internas se evidencian en extremos.
A-172;Hidráulica;Diseño;Actuador debe mantener posición bajo carga. ¿Qué agregar?;Válvula check;Válvula de bloqueo pilotada;Bomba mayor;Aceite viscoso;B;La válvula pilotada evita retroceso del actuador.
A-173;Neumática;Planta;Cilindros no sincronizan en paralelo. ¿Solución técnica?;Subir presión;Reguladores de caudal individuales;Compresor mayor;Válvula grande;B;Cada actuador requiere ajuste independiente.
A-174;Neumática;Eficiencia;Aire comprimido usado para limpieza general. ¿Recomendación?;Aumentar presión;Sustituir por soplado eléctrico/mecánico;Compresor mayor;Más filtros;B;El aire comprimido es caro energéticamente.
A-175;Fluidos;Bombas;Cavitación aparece solo con bajo nivel del tanque. ¿Causa raíz?;Alta velocidad;Bajo NPSHa;Alta temperatura;Baja potencia;B;Menor nivel reduce presión de succión disponible.
A-176;Fluidos;Diseño;Golpes frecuentes dañan sellos. ¿Qué priorizar?;Espesor;Amortiguación/transientes;Presión;Diámetro;B;Los transientes destruyen sellos antes que la carga estática.
A-177;Electricidad;Motores;Motor falla por aislamiento tras sobrecargas breves repetidas. ¿Mecanismo?;Eléctrico puro;Envejecimiento térmico;Vibración;Armónicos;B;Los picos térmicos acumulados degradan el aislamiento.
A-178;Electricidad;Diagnóstico;Variador dispara por sobretensión en desaceleración. ¿Solución?;Mayor motor;Resistencia de frenado;Filtro armónico;Fusible;B;La energía regenerada debe disiparse.
A-179;Seguridad;Planta;Incidente por interacción humano–máquina previsible. ¿Medida superior?;Capacitar;Automatizar/eliminar interacción;Señalizar;EPP;B;Eliminar la interacción es el control más efectivo.
A-180;Ingeniería;Decisión;Proyecto técnico exitoso pero no sostenible. ¿Qué se ignoró?;Técnica;Personas y procesos;Tecnología;Costos directos;B;La sostenibilidad depende de factores humanos y organizacionales.
A-181;Mecánica;Planta;Eje crítico falla tras cambio de proveedor “equivalente”. ¿Qué se omitió verificar?;Precio;Tratamiento térmico real;Longitud;Color;B;Pequeñas variaciones metalúrgicas alteran la fatiga.
A-182;Mecánica;Vibraciones;Equipo vibra solo bajo carga. ¿Causa probable?;Desbalance;Flexión inducida por carga;Resonancia;Holgura;B;La carga deforma el sistema y cambia su dinámica.
A-183;Materiales;Falla;Fractura con superficie mixta: dúctil + frágil. ¿Qué indica?;Impacto puro;Sobrecarga progresiva;Fatiga con sobrecarga final;Fluencia;C;La fatiga progresa y la rotura final es súbita.
A-184;Materiales;Selección;Componente crítico con inspección difícil. ¿Estrategia?;Material barato;Alta confiabilidad intrínseca;Más inspección;Redundancia operativa;B;Donde no se puede inspeccionar, se diseña para no fallar.
A-185;Tribología;Diagnóstico;Aceite limpio pero con metales disueltos elevados. ¿Interpretación?;Contaminación externa;Desgaste químico/corrosivo;Buen estado;Error de laboratorio;B;Los metales disueltos indican ataque químico interno.
A-186;Tribología;Mantenimiento;Relubricar no mejora vibración. ¿Conclusión?;Falta de grasa;Falla ya instalada;Lubricante incorrecto;Exceso de carga;B;La lubricación no corrige daño mecánico existente.
A-187;Elementos de máquinas;Planta;Rediseño elimina fallas pero aumenta costo inicial. ¿Cómo justificarlo?;Comparación directa;Costo del ciclo de vida;Producción diaria;Presupuesto anual;B;El LCC demuestra ahorro real a largo plazo.
A-188;Elementos de máquinas;Diseño;Engranaje crítico sin acceso a lubricación frecuente. ¿Mejor opción?;Grasa común;Material autolubricante / recubrimiento;Mayor módulo;Menor velocidad;B;El diseño debe adaptarse a la mantenibilidad.
A-189;Metrología;Producción;Proceso cumple todo, cliente falla en uso. ¿Qué faltó?;Tolerancias;Validación en condiciones reales;Inspección final;Control estadístico;B;El uso real puede diferir del entorno de fabricación.
A-190;Metrología;Calidad;SPC muestra estabilidad, pero falla funcional persiste. ¿Acción?;Ajustar SPC;Revisar requisitos funcionales;Aumentar Cp;Más inspección;B;El problema es de especificación, no de proceso.
A-191;Hidráulica;Planta;Sistema estable falla solo en picos extremos. ¿Enfoque correcto?;Bomba mayor;Análisis transitorio;Aceite distinto;Mayor presión;B;Los eventos extremos requieren análisis dinámico.
A-192;Hidráulica;Diseño;Sistema crítico no puede perder posición. ¿Solución robusta?;Válvula check simple;Válvula de bloqueo redundante;Bomba mayor;Aceite viscoso;B;La redundancia asegura seguridad funcional.
A-193;Neumática;Planta;Aire comprimido limita expansión de planta. ¿Estrategia?;Más presión;Auditoría energética;Compresor mayor;Más filtros;B;La auditoría identifica fugas y usos ineficientes.
A-194;Neumática;Diseño;Sistema crítico requiere alta disponibilidad. ¿Qué priorizar?;Simplicidad;Redundancia;Alta presión;Velocidad;B;La redundancia reduce paradas no planificadas.
A-195;Fluidos;Bombas;Fallas solo al operar fuera de punto nominal. ¿Lección clave?;Aumentar potencia;Diseñar para el punto real;Cambiar fluido;Mayor diámetro;B;El BEP real debe coincidir con la operación real.
A-196;Fluidos;Diseño;Transientes dañan equipos pese a diseño estático correcto. ¿Qué faltó?;Material;Análisis dinámico/transitorio;Espesor;Presión;B;Los transientes gobiernan la falla, no el estado estacionario.
A-197;Electricidad;Motores;Motor “sobredimensionado” falla por aislamiento. ¿Por qué?;Mejor potencia;Más corriente de arranque;Menor FP;Buena ventilación;B;Motores grandes tienen picos de arranque elevados.
A-198;Electricidad;Diagnóstico;Paradas aleatorias coinciden con eventos externos. ¿Qué integrar?;Fusibles;Sistema de monitoreo;Mayor potencia;Cambio de motor;B;El monitoreo correlaciona eventos y causas.
A-199;Seguridad;Planta;Sistema seguro en papel, inseguro en operación. ¿Qué falló?;Normativa;Integración hombre–proceso;Señalización;EPP;B;La seguridad debe diseñarse para el uso real.
A-200;Ingeniería;Decisión;¿Qué define a un ingeniero senior efectivo?;Conocimiento técnico;Capacidad de integrar técnica, personas y negocio;Años de experiencia;Certificaciones;B;El valor real está en la integración y la decisión.
