ID;Área;Subtema;Pregunta;A;B;C;D;Respuesta correcta;Explicación técnica
I-144;Materiales;Selección;¿Qué propiedad es clave para recipientes a presión?;Dureza;Tenacidad;Límite elástico;Conductividad;C;El límite elástico controla la deformación segura bajo presión.
I-145;Tribología;Desgaste;¿Qué mecanismo domina en superficies con partículas duras?;Adhesivo;Abrasivo;Fatiga;Corrosivo;B;Las partículas duras producen rayado y arranque de material.
I-146;Tribología;Lubricación;¿Qué parámetro del lubricante influye más en arranque en frío?;Densidad;Viscosidad a baja T;Color;pH;B;La viscosidad a baja temperatura gobierna el flujo inicial.
I-147;Elementos de máquinas;Transmisión;¿Qué ventaja tiene una transmisión por cadena frente a faja?;Menor ruido;No patina;Menor mantenimiento;Mayor elasticidad;B;La cadena transmite sin deslizamiento.
I-148;Elementos de máquinas;Rodamientos;¿Qué práctica reduce el false brinelling en rodamientos parados?;Alta carga;Micro-movimientos;Bloqueo rígido;Lubricación adecuada;D;La lubricación adecuada protege las pistas ante microvibraciones.
I-149;Elementos de máquinas;Engranajes;¿Qué parámetro ajusta la capacidad de carga del diente?;Módulo;Número de dientes;Ancho de cara;Material;C;El ancho de cara aumenta el área de contacto y capacidad de carga.
I-150;Metrología;Medición;¿Qué error aparece por mala alineación del instrumento?;Sistemático;Aleatorio;Ambiental;Despreciable;A;La desalineación introduce un sesgo constante.
I-151;Metrología;GD&T;¿Qué controla la tolerancia de posición?;Tamaño;Forma;Ubicación;Rugosidad;C;La posición define la ubicación del elemento respecto a referencias.
I-152;Hidráulica;Circuitos;¿Qué efecto tiene estrangular el caudal en la salida del actuador?;Aumenta fuerza;Aumenta presión;Reduce velocidad;Anula movimiento;C;Menor caudal implica menor velocidad del actuador.
I-153;Hidráulica;Bombas;¿Qué tipo de bomba es sensible a bloqueo de descarga?;Centrífuga;Axial;Positiva;Turbina;C;Las bombas positivas generan presión peligrosa si se bloquean.
I-154;Neumática;Aire;¿Por qué se usa un depósito (pulmón) de aire?;Aumentar presión;Estabilizar suministro;Enfriar aire;Lubricar sistema;B;El pulmón amortigua variaciones de demanda.
I-155;Neumática;Control;¿Qué válvula permite invertir el sentido del actuador?;Check;Reguladora;Direccional;Alivio;C;Las direccionales controlan el sentido del flujo.
I-156;Fluidos;Tuberías;¿Qué efecto tiene aumentar la velocidad del fluido?;Menores pérdidas;Mayor Reynolds;Menor fricción;Flujo laminar;B;La velocidad eleva Reynolds y pérdidas.
I-157;Fluidos;Bombas;¿Qué condición mejora el NPSHa?;Mayor temperatura;Menor presión de succión;Mayor nivel del tanque;Mayor rugosidad;C;Mayor columna de succión aumenta NPSHa.
I-158;Electricidad;Motores;¿Qué problema causa el arranque frecuente?;Menor desgaste;Calentamiento excesivo;Mejor FP;Menor corriente;B;Los arranques elevan pérdidas térmicas acumuladas.
I-159;Electricidad;Variadores;¿Qué beneficio principal aporta un VFD?;Aumentar potencia;Control de velocidad;Eliminar protecciones;Reducir torque;B;El VFD regula velocidad y mejora control del proceso.
I-160;Seguridad;Operación;¿Qué práctica previene energización inesperada?;Señalización;LOTO;Inspección visual;Permiso verbal;B;Bloqueo y etiquetado previene arranques accidentales.
I-161;Mecánica;Dinámica;¿Qué efecto tiene incrementar el torque aplicado manteniendo la inercia?;Reduce velocidad;Reduce aceleración;Aumenta aceleración angular;No cambia;C;Por T = I·?, mayor torque produce mayor aceleración angular.
I-162;Mecánica;Resistencia;¿Qué condición reduce el riesgo de falla por flexión?;Menor inercia;Mayor momento flector;Mayor inercia;Menor sección;C;Un mayor momento de inercia reduce tensiones a flexión.
I-163;Materiales;Corrosión;¿Qué método protege el acero mediante sacrificio de otro metal?;Pintura;Galvanizado;Pasivado;Anodizado;B;El zinc se sacrifica protegiendo el acero base.
I-164;Materiales;Fatiga;¿Qué variable influye más en la vida a fatiga?;Color;Carga alternante;Densidad;Conductividad;B;La amplitud de carga alternante domina la vida a fatiga.
I-165;Tribología;Fricción;¿Qué situación incrementa el desgaste adhesivo?;Lubricación adecuada;Alta presión de contacto;Superficie dura;Baja temperatura;B;Alta presión favorece micro-soldaduras entre superficies.
I-166;Tribología;Lubricantes;¿Qué indica un índice de viscosidad alto?;Viscosidad constante con T;Menor densidad;Mayor lubricidad;Mayor pH;A;Un alto IV indica menor variación de viscosidad con temperatura.
I-167;Elementos de máquinas;Ejes;¿Qué práctica reduce concentración de esfuerzos en ejes?;Chaveteros agudos;Radios generosos;Superficies rugosas;Ajustes forzados;B;Los radios reducen concentradores de esfuerzo.
I-168;Elementos de máquinas;Rodamientos;¿Qué síntoma suele indicar contaminación interna?;Operación silenciosa;Ruido irregular;Menor temperatura;Mayor eficiencia;B;Partículas generan ruido y vibración irregular.
I-169;Elementos de máquinas;Engranajes;¿Qué acción reduce ruido en engranajes?;Mayor carga;Lubricación adecuada;Desalineación;Menor módulo;B;La lubricación amortigua contacto y vibraciones.
I-170;Metrología;Medición;¿Qué error aparece por deriva térmica del instrumento?;Aleatorio;Sistemático;Humano;Despreciable;B;La deriva introduce un sesgo progresivo en la medición.
I-171;Metrología;Calidad;¿Qué indica una tendencia en carta de control?;Variación normal;Proceso estable;Desplazamiento del proceso;Alta capacidad;C;Las tendencias indican cambios graduales del proceso.
I-172;Hidráulica;Sistemas;¿Qué ocurre si se usa aceite con viscosidad muy baja?;Mejor sellado;Mayor fuerza;Fugas internas;Menor velocidad;C;Baja viscosidad aumenta fugas y reduce eficiencia.
I-173;Hidráulica;Actuadores;¿Qué incrementa la fuerza del cilindro sin cambiar presión?;Mayor carrera;Mayor diámetro;Mayor velocidad;Menor caudal;B;La fuerza depende del área del pistón.
I-174;Neumática;Control;¿Qué problema genera una válvula subdimensionada?;Mayor fuerza;Caída de presión;Menor consumo;Mejor control;B;El subdimensionamiento estrangula el flujo.
I-175;Neumática;Aire;¿Qué factor aumenta condensación en líneas?;Aire seco;Baja humedad;Enfriamiento del aire;Alta presión;C;Al enfriarse el aire, la humedad condensa.
I-176;Fluidos;Régimen;¿Qué cambio reduce el número de Reynolds?;Aumentar velocidad;Aumentar diámetro;Aumentar viscosidad;Reducir rugosidad;C;Reynolds es inversamente proporcional a la viscosidad.
I-177;Fluidos;Bombas;¿Qué consecuencia tiene operar lejos del BEP?;Mayor eficiencia;Menor vibración;Vibración y desgaste;Menor consumo;C;Fuera del BEP aumentan fuerzas hidráulicas y vibraciones.
I-178;Electricidad;Motores;¿Qué efecto tiene una sobrecarga prolongada?;Menor corriente;Mayor vida;Degradación del aislamiento;Mejor FP;C;El calor acelera envejecimiento del aislamiento.
I-179;Electricidad;Protección;¿Qué protege simultáneamente contra sobrecarga y cortocircuito?;Fusible;Interruptor termomagnético;Relé térmico;Diferencial;B;Combina protección térmica y magnética.
I-180;Seguridad;Gestión;¿Qué documento autoriza trabajos de alto riesgo?;IPERC;PETS;Permiso de trabajo;Check list;C;El permiso formal controla trabajos críticos.
I-181;Mecánica;Resistencia;¿Qué medida reduce tensiones en un cambio brusco de sección?;Esquinas vivas;Radios de transición;Menor material;Mayor carga;B;Los radios reducen concentradores de esfuerzo.
I-182;Mecánica;Dinámica;¿Qué variable controla directamente la aceleración angular?;Velocidad;Torque aplicado;Masa;Diámetro;B;Por T = I·?, el torque gobierna la aceleración angular.
I-183;Materiales;Fatiga;¿Qué tratamiento superficial mejora la vida a fatiga?;Pulido;Granallado;Recocido;Normalizado;B;El granallado induce esfuerzos residuales compresivos.
I-184;Materiales;Selección;¿Qué material es más adecuado para cargas cíclicas altas?;Fundición gris;Cerámica;Acero dúctil;Vidrio;C;La ductilidad mejora resistencia a fatiga.
I-185;Tribología;Desgaste;¿Qué condición reduce el desgaste adhesivo?;Alta presión;Contacto seco;Lubricación adecuada;Superficie blanda;C;La lubricación separa superficies y evita micro-soldaduras.
I-186;Tribología;Lubricantes;¿Qué propiedad ayuda a mantener película lubricante estable?;Color;Índice de viscosidad;Densidad;Conductividad;B;Un IV alto reduce variación de viscosidad con temperatura.
I-187;Elementos de máquinas;Ejes;¿Qué condición suele provocar falla prematura en ejes?;Radios amplios;Buen acabado;Concentradores de esfuerzo;Alineación correcta;C;Las discontinuidades concentran esfuerzos y aceleran fatiga.
I-188;Elementos de máquinas;Rodamientos;¿Qué práctica reduce fallas por contaminación?;Abrir sellos;Lubricar en exceso;Sellado y filtración;Mayor carga;C;El sellado y filtración evitan ingreso de partículas.
I-189;Elementos de máquinas;Engranajes;¿Qué factor incrementa la capacidad de carga del engranaje?;Menor módulo;Mayor ancho de cara;Menor dureza;Menor lubricación;B;Más ancho distribuye mejor la carga.
I-190;Metrología;Medición;¿Qué efecto tiene la dilatación térmica en mediciones?;No influye;Introduce error dimensional;Mejora precisión;Reduce tolerancia;B;La temperatura altera dimensiones reales.
I-191;Metrología;Calidad;¿Qué indica un proceso con puntos fuera de control?;Variación normal;Causas especiales;Alta capacidad;Buen centrado;B;Señala problemas que requieren acción correctiva.
I-192;Hidráulica;Sistemas;¿Qué riesgo genera una válvula direccional atascada?;Mayor eficiencia;Pérdida de control;Mayor caudal;Menor presión;B;Un actuador puede moverse de forma inesperada.
I-193;Hidráulica;Fluido;¿Qué propiedad del aceite influye más en pérdidas internas?;Color;Viscosidad;pH;Densidad;B;La viscosidad controla fugas y fricción interna.
I-194;Neumática;Control;¿Qué causa un movimiento irregular del cilindro?;Aire seco;Presión estable;Aire con humedad;Regulación correcta;C;La humedad afecta válvulas y sellos.
I-195;Neumática;Seguridad;¿Qué se debe hacer antes de desmontar una válvula?;Aumentar presión;Purgar el sistema;Cambiar filtro;Ajustar regulador;B;Es vital eliminar energía almacenada.
I-196;Fluidos;Tuberías;¿Qué efecto tiene un codo mal diseñado?;Reduce pérdidas;Aumenta caudal;Incrementa pérdidas locales;Mejora flujo;C;Los cambios bruscos generan pérdidas adicionales.
I-197;Fluidos;Bombas;¿Qué condición indica operación cercana al BEP?;Ruido elevado;Vibración mínima;Cavitación;Baja eficiencia;B;En el BEP la bomba opera más estable.
I-198;Electricidad;Motores;¿Qué variable se incrementa con baja tensión en carga?;Velocidad;Corriente;Factor de potencia;Eficiencia;B;El motor demanda más corriente para el mismo torque.
I-199;Electricidad;Protección;¿Qué protege equipos electrónicos sensibles?;Fusible;Relé térmico;Supresor de picos;Contactor;C;Los supresores limitan sobretensiones transitorias.
I-200;Seguridad;Ingeniería;¿Qué principio rige la jerarquía de controles?;EPP primero;Eliminar el peligro;Señalizar riesgos;Capacitar únicamente;B;La eliminación del peligro es la medida más efectiva.
