ID;Área;Subtema;Pregunta;A;B;C;D;Respuesta correcta;Explicación técnica
153;Hidráulica;Actuadores;¿Qué factor aumenta la fuerza de un cilindro hidráulico?;Mayor carrera;Mayor presión;Mayor velocidad;Mayor retorno;B;La fuerza depende de presión y área del pistón.
154;Neumática;Control;¿Qué válvula controla el sentido del movimiento del actuador?;Reguladora;De alivio;Direccional;Check;C;Las válvulas direccionales controlan el flujo hacia el actuador.
155;Neumática;Consumo;¿Qué aumenta el consumo de aire comprimido?;Buena estanqueidad;Presión adecuada;Fugas;Regulación correcta;C;Las fugas incrementan pérdidas de aire y energía.
156;Fluidos;Régimen;¿Qué condición favorece flujo laminar?;Alta velocidad;Alta rugosidad;Baja velocidad;Diámetro grande;C;Menor velocidad reduce el número de Reynolds.
157;Fluidos;Energía;¿Qué principio relaciona velocidad y presión en un fluido?;Pascal;Bernoulli;Arquímedes;Newton;B;El principio de Bernoulli vincula presión, velocidad y altura.
158;Electricidad;Potencia;¿Qué unidad mide la potencia eléctrica?;Joule;Ampere;Watt;Volt;C;El watt es la unidad de potencia en el SI.
159;Electricidad;Circuitos;¿Qué ocurre si se conecta una carga en paralelo?;Aumenta resistencia total;Disminuye corriente total;Mantiene voltaje;Se abre el circuito;C;En paralelo, cada carga recibe el mismo voltaje.
160;Seguridad;Normas;¿Por qué se aplican normas de seguridad industrial?;Para limitar producción;Para proteger personas y equipos;Para reducir mantenimiento;Para aumentar costos;B;Las normas buscan minimizar riesgos y accidentes.
161;Mecánica;Energía;¿Qué tipo de energía posee un cuerpo por su movimiento?;Potencial;Térmica;Cinética;Elástica;C;La energía cinética depende de la velocidad del cuerpo.
162;Mecánica;Estática;¿Qué condición define equilibrio estático?;Velocidad constante;Aceleración cero;Fuerzas y momentos nulos;Energía mínima;C;En equilibrio estático, la suma de fuerzas y momentos es cero.
163;Materiales;Clasificación;¿Qué material es metálico?;Polietileno;Vidrio;Acero;Epoxi;C;El acero es una aleación metálica.
164;Materiales;Propiedades;¿Qué propiedad indica resistencia a la rotura bajo impacto?;Dureza;Tenacidad;Elasticidad;Fragilidad;B;La tenacidad mide la energía absorbida antes de fracturar.
165;Tribología;Fricción;¿Qué ocurre si disminuye el coeficiente de fricción en una faja?;Aumenta transmisión;Disminuye patinaje;Aumenta patinaje;No cambia nada;C;Menor fricción favorece el deslizamiento entre faja y polea.
166;Tribología;Desgaste;¿Qué factor acelera el desgaste de superficies en contacto?;Lubricación adecuada;Superficie limpia;Contaminación;Baja carga;C;Las partículas contaminantes generan desgaste abrasivo.
167;Elementos de máquinas;Ejes;¿Qué esfuerzo aparece cuando un eje transmite potencia?;Tracción;Compresión;Torsión;Corte;C;La transmisión de par genera esfuerzo torsional.
168;Elementos de máquinas;Rodamientos;¿Qué condición indica una posible falla incipiente en un rodamiento?;Baja temperatura;Vibración anormal;Funcionamiento silencioso;Lubricación correcta;B;Vibraciones anómalas suelen ser indicio temprano de falla.
169;Elementos de máquinas;Engranajes;¿Qué factor reduce la vida útil de un engranaje?;Lubricación adecuada;Carga excesiva;Alineación correcta;Material adecuado;B;Las sobrecargas generan esfuerzos superiores al diseño.
170;Metrología;Medición;¿Qué instrumento mide desviaciones muy pequeñas respecto a una referencia?;Regla;Calibrador;Comparador;Micrómetro;C;El comparador mide variaciones pequeñas respecto a un patrón.
171;Metrología;Calidad;¿Qué se busca con el control dimensional?;Aumentar producción;Reducir costos;Garantizar funcionalidad;Evitar inspección;C;El control dimensional asegura el correcto funcionamiento del conjunto.
172;Hidráulica;Fluidos;¿Qué parámetro influye directamente en la fuerza de un actuador hidráulico?;Caudal;Presión;Temperatura;Viscosidad;B;La fuerza depende de la presión y el área del pistón.
173;Hidráulica;Pérdidas;¿Qué provoca una caída de presión excesiva en un sistema hidráulico?;Mayor eficiencia;Menor temperatura;Pérdidas por fricción;Mayor caudal útil;C;La fricción interna reduce la presión disponible.
174;Neumática;Seguridad;¿Qué se debe hacer antes de intervenir un sistema neumático?;Aumentar presión;Cerrar válvula y purgar;Cambiar filtro;Acelerar compresor;B;Es necesario eliminar presión para trabajar con seguridad.
175;Neumática;Mantenimiento;¿Qué indica un aumento continuo de consumo de aire?;Buen sellado;Alta eficiencia;Fugas en el sistema;Mejor regulación;C;Las fugas elevan el consumo energético.
176;Fluidos;Tuberías;¿Qué efecto tiene aumentar el diámetro de una tubería?;Aumenta pérdidas;Disminuye caudal;Reduce pérdidas;Aumenta viscosidad;C;Un mayor diámetro reduce la velocidad y las pérdidas por fricción.
177;Fluidos;Hidrostática;¿De qué depende la presión en un punto de un fluido en reposo?;Área;Profundidad;Velocidad;Caudal;B;La presión hidrostática depende de la profundidad y densidad.
178;Electricidad;Circuitos;¿Qué sucede si una resistencia se quema en un circuito en serie?;El resto funciona;Se interrumpe el circuito;Aumenta corriente;Baja voltaje;B;En serie, la falla de un elemento abre el circuito.
179;Electricidad;Seguridad;¿Qué riesgo existe al trabajar con conductores energizados?;Ruido;Choque eléctrico;Menor eficiencia;Vibración;B;El contacto con conductores energizados puede causar electrocución.
180;Seguridad;Industria;¿Qué práctica reduce accidentes en planta?;Improvisación;Capacitación del personal;Sobrecarga de equipos;Eliminación de normas;B;La capacitación mejora conductas seguras y prevención.
181;Mecánica;Trabajo;¿Cuándo se realiza trabajo mecánico sobre un cuerpo?;Cuando hay fuerza sin movimiento;Cuando hay movimiento sin fuerza;Cuando fuerza y desplazamiento actúan;Cuando hay aceleración;C;El trabajo requiere fuerza y desplazamiento en la dirección de la fuerza.
182;Mecánica;Energía;¿Qué tipo de energía almacena un resorte comprimido?;Cinética;Térmica;Elástica;Potencial gravitatoria;C;Los resortes almacenan energía potencial elástica.
183;Materiales;Propiedades;¿Qué propiedad se evalúa con el ensayo Charpy?;Dureza;Tenacidad al impacto;Elasticidad;Fluencia;B;El ensayo Charpy mide energía absorbida ante impacto.
184;Materiales;Tratamientos;¿Qué tratamiento térmico busca aliviar tensiones internas?;Templado;Revenido;Recocido;Normalizado;C;El recocido reduce tensiones y aumenta ductilidad.
185;Tribología;Fricción;¿Qué ocurre si la fricción es excesiva en un mecanismo?;Aumenta eficiencia;Disminuye temperatura;Aumenta desgaste;Mejora vida útil;C;Fricción excesiva genera calor y desgaste acelerado.
186;Tribología;Lubricación;¿Qué lubricante es más común en engranajes industriales?;Agua;Grasa;Aceite;Aire;C;Los aceites permiten buena lubricación y disipación de calor.
187;Elementos de máquinas;Transmisión;¿Qué elemento transmite potencia entre ejes paralelos sin contacto directo?;Engranaje;Faja;Cadena;Acople rígido;B;Las fajas transmiten potencia por fricción sin contacto rígido.
188;Elementos de máquinas;Chavetas;¿Qué ocurre si una chaveta falla?;Aumenta velocidad;Se pierde transmisión de torque;Mejora alineación;Disminuye fricción;B;"La chaveta transmite par; su falla interrumpe la transmisión."
189;Elementos de máquinas;Acoplamientos;¿Qué ventaja tiene un acoplamiento flexible?;Mayor rigidez;Compensa desalineaciones;Aumenta potencia;Reduce diámetro;B;Los acoplamientos flexibles absorben desalineaciones y vibraciones.
190;Metrología;Medición;¿Qué instrumento se usa para verificar paralelismo?;Micrómetro;Comparador;Regla;Vernier;B;El comparador detecta desviaciones pequeñas como paralelismo.
191;Metrología;Control;¿Qué se controla al aplicar tolerancias geométricas?;Material;Forma y posición;Peso;Color;B;Las tolerancias geométricas controlan forma, orientación y posición.
192;Hidráulica;Sistemas;¿Qué sucede si una válvula de alivio está mal calibrada?;Mejora eficiencia;Puede dañarse el sistema;Aumenta caudal;Reduce pérdidas;B;Una válvula mal ajustada puede permitir sobrepresión peligrosa.
193;Hidráulica;Fluido;¿Por qué es crítico mantener limpio el aceite hidráulico?;Mejora color;Reduce desgaste;Aumenta presión;Reduce caudal;B;La contaminación acelera desgaste y fallas del sistema.
194;Neumática;Aire;¿Por qué se elimina humedad del aire comprimido?;Reducir ruido;Evitar corrosión y fallas;Aumentar presión;Reducir temperatura;B;La humedad provoca corrosión y mal funcionamiento.
195;Neumática;Mantenimiento;¿Qué elemento del FRL se encarga de la lubricación?;Filtro;Regulador;Lubricador;Compresor;C;El lubricador añade aceite al aire comprimido.
196;Fluidos;Flujo;¿Qué fenómeno aparece al aumentar excesivamente la velocidad del fluido?;Flujo laminar;Cavitación;Turbulencia;Compresión;C;Altas velocidades favorecen régimen turbulento.
197;Fluidos;Bombas;¿Qué problema puede causar cavitación?;Aumento de eficiencia;Daño en bombas;Mayor caudal;Reducción de vibración;B;La cavitación erosiona superficies y daña equipos.
198;Electricidad;Protección;¿Qué protege un fusible?;Contra sobrecarga leve;Contra sobrecorriente;Contra fuga a tierra;Contra ruido;B;El fusible se funde ante sobrecorriente.
199;Electricidad;Motores;¿Qué factor aumenta la temperatura de un motor eléctrico?;Ventilación adecuada;Sobrecarga;Alineación correcta;Voltaje nominal;B;La sobrecarga incrementa corriente y calentamiento.
200;Seguridad;Ingeniería;¿Cuál es el objetivo principal del diseño seguro?;Reducir costos;Evitar mantenimiento;Proteger personas y activos;Aumentar complejidad;C;La ingeniería segura prioriza la protección de personas y equipos.
